Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),474.57,0.00,46907.11,,,,,,399.74,,921.15,1059.23,1388.60,387.22
Active Decode Throughput Per User (tokens/sec/user),138.56,0.00,31576.47,,,,,,142.87,,161.93,173.29,249.37,65.63
Active Prefill Throughput (tokens/sec),117825.52,891.34,508064.61,,,,,,120042.95,,219761.55,264573.40,357347.50,79278.13
Active Prefill Throughput Per User (tokens/sec/user),70735.50,891.34,184119.77,,,,,,55617.54,,149361.06,156153.85,173541.02,56330.53
Active Total Throughput (tokens/sec),56557.16,121.14,508573.50,,,,,,1001.37,,160735.10,217065.90,314213.24,80385.04
Credit-to-Start Latency (ms),2.21,0.77,25.87,1211.53,0.99,1.18,1.26,1.45,1.67,2.03,3.65,5.42,8.66,1.97
Decode Duration (ms),5867.83,0.00,173444.63,3215568.96,45.79,177.93,659.54,981.11,1889.10,6314.23,14257.13,24378.58,46849.56,11810.53
E2E Output Token Throughput (tokens/sec/user),83.80,0.73,148.60,45924.24,6.33,10.04,21.73,65.76,87.70,112.48,127.47,134.14,142.98,36.31
Effective Concurrency,4.79,0.00,15.00,,,,,,3.00,,11.00,12.00,13.00,3.62
Effective Decode Concurrency,3.46,0.00,13.00,,,,,,3.00,,7.00,9.00,12.00,2.64
Effective Decode Throughput (tokens/sec),449.71,0.00,46907.11,,,,,,336.75,,912.73,1053.19,1382.85,391.49
Effective Decode Throughput Per User (tokens/sec/user),131.31,0.00,31576.47,,,,,,141.82,,161.52,171.32,246.71,70.95
Effective Latency (CO-aware) (ms),8135.78,227.53,194367.58,4458409.57,503.46,1059.02,1352.37,1896.18,3745.27,10052.47,18929.98,26157.92,51100.90,12928.44
Effective Prefill Concurrency,1.33,0.00,12.00,,,,,,0.00,,5.00,6.00,8.00,2.08
Effective Prefill Throughput (tokens/sec),54841.17,0.00,508064.61,,,,,,0.00,,159849.20,214544.51,311795.83,79871.52
Effective Prefill Throughput Per User (tokens/sec/user),32923.41,0.00,184119.77,,,,,,0.00,,129994.82,148683.55,161586.71,52171.03
Effective Total Throughput (tokens/sec),55290.88,0.00,508573.50,,,,,,953.00,,160461.12,214967.75,312662.17,79919.29
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,750.43,1.00,21306.00,411236.00,9.00,23.10,83.00,119.50,250.00,818.50,1925.10,3206.60,5789.39,1475.63
HTTP Chunks Sent,1.00,1.00,1.00,548.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.17,0.00,14.57,90.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.92,1.25
