Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),201.83,0.00,16261.36,,,,,,163.09,,309.86,313.84,387.99,139.67
Active Decode Throughput Per User (tokens/sec/user),156.93,0.00,15543.27,,,,,,159.24,,166.96,183.56,262.21,102.46
Active Prefill Throughput (tokens/sec),12106.22,4500.15,119944.31,,,,,,9490.50,,19132.16,19132.16,119944.31,14420.12
Active Prefill Throughput Per User (tokens/sec/user),7402.83,4500.15,119944.31,,,,,,4769.64,,9566.08,9566.08,119944.31,14604.80
Active Total Throughput (tokens/sec),10763.70,155.27,119944.31,,,,,,9490.50,,19132.16,19132.16,119944.31,14091.53
Credit-to-Start Latency (ms),1.73,1.39,2.15,10.39,1.40,1.44,1.49,1.60,1.61,1.93,2.10,2.12,2.15,0.27
Decode Duration (ms),1690.75,631.27,3270.07,10144.52,642.08,685.32,739.37,859.84,1145.73,2676.81,3187.16,3228.62,3261.78,1083.49
E2E Output Token Throughput (tokens/sec/user),26.28,5.67,82.25,157.70,5.71,5.86,6.06,9.22,18.58,24.54,54.21,68.23,79.45,26.05
Effective Concurrency,1.15,0.00,2.00,,,,,,2.00,,2.00,2.00,2.00,0.92
Effective Decode Concurrency,0.11,0.00,2.00,,,,,,0.00,,0.00,1.00,2.00,0.39
Effective Decode Throughput (tokens/sec),17.61,0.00,16261.36,,,,,,0.00,,0.00,162.34,309.02,70.33
Effective Decode Throughput Per User (tokens/sec/user),13.69,0.00,15543.27,,,,,,0.00,,0.00,157.46,166.11,53.64
Effective Latency (CO-aware) (ms),17261.62,1679.41,27519.06,103569.72,2004.29,3303.81,4928.22,10721.45,20038.61,25018.39,26818.04,27168.55,27448.96,9399.14
Effective Prefill Concurrency,1.04,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.95
Effective Prefill Throughput (tokens/sec),6830.37,0.00,119944.31,,,,,,5575.99,,10076.14,19132.16,19132.16,12383.72
Effective Prefill Throughput Per User (tokens/sec/user),4176.70,0.00,119944.31,,,,,,4745.25,,5575.99,9566.08,14632.01,11568.03
Effective Total Throughput (tokens/sec),6847.98,0.00,119944.31,,,,,,5575.99,,10076.14,19132.16,19132.16,12375.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,258.83,101.00,499.00,1553.00,102.70,109.50,118.00,135.50,174.50,404.75,484.00,491.50,497.50,162.86
HTTP Chunks Sent,1.00,1.00,1.00,6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,2.59,2.59,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.94,2.46,0.97
HTTP Connection Overhead (ms),0.43,0.00,2.59,2.59,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.94,2.46,0.97
HTTP Connection Reused (ratio),0.83,0.00,1.00,5.00,0.05,0.25,0.50,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),68.68,27.17,131.75,412.08,27.61,29.37,31.58,36.13,46.33,107.41,128.13,129.94,131.39,42.97
HTTP Data Sent (KB),380.54,364.55,409.24,2283.21,364.64,365.01,365.48,366.76,368.60,396.70,407.53,408.38,409.07,19.17
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),17259.76,1677.68,27517.34,103558.58,2002.56,3302.09,4926.50,10719.79,20036.71,25016.18,26816.08,27166.71,27447.22,9399.02
HTTP Receiving (ms),1691.07,631.45,3270.09,10146.39,642.25,685.46,739.47,860.03,1146.55,2677.06,3187.18,3228.63,3261.80,1083.34
HTTP Sending (ms),0.72,0.22,2.99,4.32,0.22,0.22,0.23,0.25,0.26,0.32,1.66,2.33,2.86,1.02
