Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),188.71,0.00,31606.99,,,,,,153.88,,355.59,420.01,582.97,161.23
Active Decode Throughput Per User (tokens/sec/user),101.82,0.00,20854.79,,,,,,102.59,,115.74,145.57,260.35,65.88
Active Prefill Throughput (tokens/sec),81372.82,1457.68,363781.56,,,,,,73664.62,,149397.07,172741.09,262358.73,58680.00
Active Prefill Throughput Per User (tokens/sec/user),71273.18,1457.68,181741.47,,,,,,57972.29,,135701.63,149681.76,175701.75,50367.85
Active Total Throughput (tokens/sec),27828.52,96.81,363974.89,,,,,,207.69,,122193.66,137431.60,192237.57,51519.90
Credit-to-Start Latency (ms),1.75,0.82,20.04,452.40,0.84,0.94,1.00,1.15,1.39,1.71,2.37,3.35,8.13,1.69
Decode Duration (ms),5374.34,1.48,121522.19,1386579.20,103.19,598.30,944.05,1300.26,2057.55,3500.21,9568.86,13828.16,70547.95,13352.82
E2E Output Token Throughput (tokens/sec/user),68.67,0.80,101.59,17715.93,9.69,25.41,41.80,59.38,71.14,82.17,92.83,95.26,98.17,19.73
Effective Concurrency,1.85,0.00,6.00,,,,,,2.00,,4.00,4.00,5.00,1.31
Effective Decode Concurrency,1.48,0.00,6.00,,,,,,1.00,,3.00,4.00,5.00,1.23
Effective Decode Throughput (tokens/sec),148.51,0.00,31606.99,,,,,,106.09,,314.72,402.47,555.33,162.57
Effective Decode Throughput Per User (tokens/sec/user),80.13,0.00,20854.79,,,,,,97.33,,110.07,134.28,237.01,71.79
Effective Latency (CO-aware) (ms),6744.12,311.99,128409.58,1739983.37,368.69,1353.82,1702.16,2095.35,3049.11,5544.26,12472.72,15503.70,74454.16,13786.92
Effective Prefill Concurrency,0.38,0.00,4.00,,,,,,0.00,,1.00,2.00,3.00,0.65
Effective Prefill Throughput (tokens/sec),23956.90,0.00,363781.56,,,,,,0.00,,114824.39,133163.50,179839.37,48880.05
Effective Prefill Throughput Per User (tokens/sec/user),20983.48,0.00,181741.47,,,,,,0.00,,105806.17,129010.86,163408.27,42451.68
Effective Total Throughput (tokens/sec),24105.41,0.00,363974.89,,,,,,204.17,,114929.97,133532.37,179942.23,48876.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,536.74,4.00,12324.00,138478.00,11.85,63.70,96.70,129.00,209.50,351.50,983.90,1404.30,7128.72,1324.29
HTTP Chunks Sent,1.00,1.00,1.00,258.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.39,0.00,40.18,99.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.92,2.83
HTTP Connection Overhead (ms),0.69,0.00,78.33,179.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.73,5.40
HTTP Connection Reused (ratio),0.96,0.00,1.00,248.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.19
HTTP Data Received (KB),141.33,1.20,3223.68,36462.15,3.90,17.41,25.90,34.46,55.60,92.07,257.89,368.57,1868.93,347.08
HTTP Data Sent (KB),325.87,1.20,848.57,84074.46,1.46,83.45,123.47,213.38,311.43,394.06,641.92,661.61,771.79,170.61
HTTP DNS Lookup (ms),0.31,0.00,38.15,79.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.90,2.58
HTTP Duration (excl. conn) (ms),6742.26,310.57,128408.07,1739503.28,365.49,1352.36,1700.71,2094.02,3047.51,5540.85,12471.37,15501.83,74451.70,13786.87
HTTP Receiving (ms),5374.61,2.11,121522.25,1386648.69,103.20,598.38,944.50,1300.44,2057.56,3500.27,9568.91,13828.16,70547.97,13352.96
HTTP Sending (ms),0.63,0.10,40.72,161.27,0.14,0.16,0.17,0.18,0.19,0.26,0.36,0.54,10.01,2.87
HTTP Total Time (ms),6742.95,310.57,128408.07,1739682.28,365.49,1352.36,1700.71,2094.02,3047.51,5544.51,12471.37,15501.83,74485.38,13788.94
HTTP Waiting (TTFB) (ms),1367.03,155.78,13547.08,352693.31,177.65,430.61,544.57,679.67,817.16,1210.41,2391.21,3297.16,11708.34,1868.12
Input Sequence Length (tokens),87285.03,271.00,227715.00,22519538.00,399.14,22454.25,33181.50,57214.00,83135.00,106052.25,171601.00,176665.80,207099.22,45658.08
Inter Chunk Latency (ms),10.06,0.00,116.63,1386579.20,0.60,3.42,5.57,9.50,9.75,10.36,12.56,19.35,24.70,4.31
Inter Token Latency (ms),9.75,1.48,11.31,2515.37,7.26,9.34,9.44,9.58,9.71,9.95,10.43,10.64,10.82,0.76
